13,新南湖 沃尔玛 佰港城 文馨街 保利心语,整租 | 2室2厅 | 68㎡ | 34/34层 | 南向,洪山区-新南湖-保利心语东湖新技术开发区马湖路2号,2300元/月,6小时前更新
9,保利心语一期 3室1厅 139平,整租 | 3室1厅 | 140㎡ | 1/11层 | 南北向,洪山区-新南湖-保利心语东湖新技术开发区马湖路2号,4000元/月,5小时前更新
16,城投瀚城巧克力公馆 精装修两居室 复式楼 居住舒适 房东诚租,整租 | 2室2厅 | 94㎡ | 15/18层 | 南北向,洪山区-卓刀泉-城投瀚城雄楚大道450号(名都花园旁,精装修 电梯房 学校周边,3500元/月,12天前更新
15,城投瀚城 精装修两居室 家具家电齐全 房东诚租 随时看房,整租 | 2室2厅 | 90㎡ | 18/31层 | 南北向,洪山区-卓刀泉-城投瀚城雄楚大道450号(名都花园旁,家电齐全 精装修 电梯房,3000元/月,12天前更新
12,杨家湾地铁C出口 周边 保利华都两室两厅出租,整租 | 2室2厅 | 91㎡ | 26/29层 | 南向,洪山区-卓刀泉-保利华都东湖新技术开发区卓刀泉路29,家电齐全 学校周边 南北通透,3400元/月,7天前更新
19,杨家湾地铁口,保利华都,精装一室一厅,家电齐全,随时看房,整租 | 1室1厅 | 57㎡ | 14/28层 | 南北向,洪山区-卓刀泉-保利华都东湖新技术开发区卓刀泉路29,2100元/月,6天前更新
3,复地悦城二期门面 246平上下两层 毛坯出租 1.2w低价长租,整租 | 5室4厅 | 246㎡ | 1/2层 | 南向,洪山区-白沙洲-复地悦城白沙洲大道与烽胜路交汇处(张,低价出租 繁华地段 首次出租,12000元/月,6天前更新
16,复地悦城精装三房 全新新房 交通便利 有钥匙 随时看房,整租 | 3室2厅 | 90㎡ | 15/30层 | 西南向,洪山区-白沙洲-复地悦城白沙洲大道与烽胜路交汇处(张,2000元/月,9分钟前更新
11,两房 实力价格 豪华配套 拎包入住,整租 | 2室2厅 | 92㎡ | 11/18层 | 南北向,洪山区-白沙洲-福星惠誉东澜岸黄家湖大学城(武汉科技大学旁,精装修 家电齐全 电梯房,2100元/月,3天前更新
10,3房装修实力装修 周边配套齐全 价格合适,整租 | 3室2厅 | 92㎡ | 5/8层 | 南北向,洪山区-白沙洲-福星惠誉东澜岸黄家湖大学城(武汉科技大学旁,学校周边 电梯房 首次出租,2100元/月,27天前更新
13,泰然南湖玫瑰湾 居家型精装三房 可短租少有出租方式 静等有缘人,整租 | 3室2厅 | 136㎡ | 15/30层 | 南北向,洪山区-珞狮南路-泰然南湖玫瑰湾蓝狮子山街苫风咀8号,2800元/月,5天前更新
17,泰然南湖玫瑰湾精装居家型三房 很合适的居家温馨居所,整租 | 2室2厅 | 108㎡ | 20/33层 | 南北向,洪山区-珞狮南路-泰然南湖玫瑰湾蓝狮子山街苫风咀8号,3200元/月,5天前更新
5,采光好 两证无税 可拎包入住 送全套家电,整租 | 3室2厅 | 136㎡ | 1/18层 | 西南向,洪山区-卓刀泉-名都花园洪山区雄楚大街450号,繁华地段 南北通透 家电齐全,3900元/月,26天前更新
12,名都花园大阳台独立卫生间大衣柜空调只要1300精装修看房有钥匙,整租 | 1室0厅 | 30㎡ | 6/12层 | 南向,洪山区-卓刀泉-名都花园洪山区雄楚大街450号,家电齐全 精装修 电梯房,1300元/月,17天前更新
