1.64元/m²•天,1.5万/月,85%,国际企业中心二期宏宇楼,洪山 光谷关山 光谷国际企业中心附近,暂无数据,300m²,高区,54个,1.8元/m²•月,1.53万/月,*真实图片无任何*用成交返百分之三十办公大礼包  一、房源介绍  楼盘：光谷国际企业中心  租金：50元/平/月  面积：300㎡  装修—精装带家具  物业费：  1.8元/平/月  停车费：  200元/月  二、房源优势  1.光谷少有电梯口精装房源  2.坐南朝北，采光好、空气流通性强  3.户型方正，综合利用率高  4.价格实惠，性价比超高  三:房源位于光谷大道与凌家山北路交汇。处于光谷核心商圈，是光谷商业办公写字楼，办公入住率非常高，很多公司都在里面办公，大楼3部电梯，上下班方便.公交车BRT公交直达。
0.01元/m²•天,70元/月,80%,亚贸广场写字楼,洪山 街道口 洪山武珞路628号,暂无数据,170m²,高区,30个,9.5元/m²•月,1600元/月,房源介绍：  1、项目：亚贸广场  2、面积：170平米  3、报价：70元/平/月  4、朝向：东南  5、免租期：可协商  6、位置：地铁宝通寺站直达。  7、  *  方式：押一付三  8、装修情况：  （1）房间位于大厦高楼层，视野开阔，户型方正。  （2）现室内精装修，3个到顶隔断。装修高大上，宽敞明亮。  （3）所装修比较适合传媒、网络、设计、贸易类公司。  （4）如对装修并无太大的改动，直接入住即可，看房随时。
1.31元/m²•天,1.2万/月,75%,SBI创业街,洪山 光谷关山 光谷创业街,暂无数据,299m²,高区,54个,面议,1.2万/月,描述  房源介绍：  1)  面积信息：  299㎡，房源类型多样、各种装修状况，随时看房；73%得房率  2)  价格优势：  40元/m²⋅月（可议）  3)  装修情况：  精装修，可分割，户型多样，多种选择  4)  客梯数量：  2个  5)  免租时间：  面议  6)  看房时间：  随时可看  7)  征用时间：  随时入住  8  )  若此房源不合适，我们还有其他房源，强大的商业地产团队，*房源，只需您的一个来电，总有一套适合您的房子。  新环境房产经纪有限公司-李盈-竭诚为您服务  欢迎光临我的网上店铺，愿您在我的店铺里能找到适合您的房源。  用心多于用脑，真诚多于技巧!  价格房东随时有变动，以实地看房为主  服务理念：  我公司本着“有幸相识！真诚相待”的原则，将竭诚为您服务！  个人介绍  ：  我做服务本着  实在、老实、诚恳，先做人，再做事的原则  ，  用*努力为您做好每一件事  向您诚诺*房源一定真实有效  ，  新环境商业地产李盈真诚的为您服务！  有关写字楼商铺的问题，为您提供真实的房产信息，购房、买房、租房、出租房屋为您解决房产迷惑。有房产上的需求*时间帮到您！随时恭候您的来电。  节假日无休息。  只为找到您理想的造金库！
月租金 75元/月,楼盘名 龙安港汇城,地铁 暂无数据,楼层 低区,物业费 5元/m²•月,2075元/月每月支出＝总租金+物业费 * 面积,描述  1：楼盘名称：龙安港汇城  2：出租面积：400平米  3：房屋报价：75元/月/平米  4：房屋现状：紧邻地铁【老板间、经理室、会议室、财务室、接待室】.工位区60个.一应俱全。  5：网络通讯：三网通  6：交通情况：地铁、公交多线路  7：周边配套：办公环境优越，周边办公气氛浓厚、有各大银行、餐饮、娱乐、休闲等等。  服务内容  （一）全程免费看房，专业、为您省时、省力！  （二）专业团队为您匹配房源、让您省心、放心！  （三）强大的资源系统、让您360度全面了解项目、市场！  （四）带看、签约、验房、收房、交接全程参与、用无微不至的服务让您满意！  （五）周边项目介绍以及帮贵公司分析市场行情。
月租金 42元/月,楼盘名 光谷国际,地铁 暂无数据,楼层 低区,物业费 3元/m²•月,504元/月每月支出＝总租金+物业费 * 面积,【项目介绍】  （1）楼盘名称  :  光谷国际大厦  （2）出租面积  :  145㎡  （3）出租报价  :  6500/月  （4）装修情况  :  精装修交付  （5）签约年限  :  1年起签（1-5年可谈）  （6）看房时间  :  可随时看房  （7）周边配套：地下一层商业街、户部巷小吃城  （8）大厦品质：（成熟楼盘，配套完善）  （9）项目交通  :  地铁2号线延长线佳园路站预计10月份开通，周边多条公交线路直达。  周边相近面积及价位房源*：  1.光谷金融港  半层1060平  精装带家具  2.当代中心  半层  950平  精装带家具  3.世贸中心  半层900平  可*装修配家具  4.当代梦工场  整层2000平  可自由分割*装修  5.光谷总部国际  800平  精装  6.光谷长投企业天地  600平  送*装修全新办公家具  7.光谷国际企业中  心  1500平独栋  可分租  8.光谷软件园  733平  精装独栋  临人工湖  9.光谷软件园  1500平  整层可分租  10.光谷新发展大厦  2060平  A级中装可自由分割  11.光谷新世界  2000平  A级写字楼  中等装修  可分租  12.保利国际中  心  980平  A级  精装带家具现房  13.光谷万科中  心  1000平  A级  高档  临雄楚大道BRT  14.光谷时代广场  743平  精装带家具  有轨电车直达  15.光谷龙安港汇城  1180平  整层  民族大道近地铁  16.光谷时间广场  1184平  整层可分割  临雄楚大道BRT民族大道  16.光谷国际广场  800平  精装  地铁口  17.融众国际大厦  1800平  整层  档次高  离地铁近  18.鲁磨路  548平  整层  可租连。
0.01元/m²•天,95元/月,90%,福星惠誉·群星城K3-2楼,洪山 徐东 徐东大街120号,暂无数据,240m²,高区,43个,面议,95元/月,武汉兴企行，让创业快速起航  项目介绍  ：  1、项目：群星城-汇金中心  2、面积：240  平  米  3、报价：95  元  /  平  /月  4  、朝向：  东南  5、免租期：  可协商  6、位置：地铁8号线汪家墩  站  直达，并有多条公交线路直达。  7  、方式：  押一付三  8、  装修情况：  （1）房间位于大厦高楼层，视野开阔，户型方正。  （2）现室内精装修，4个到顶隔断。宽敞明亮，可放40-50工位。  （3）所装修比较适合传媒、教育、文化、贸易类公司。  （4）如对装修并无太大的改动，直接入住即可，看房随时。  简  介  ：武汉兴企行房地产经纪有限公司成立于  2016年2月  ，公司地址位于武昌区洪山广场。主营业务：  写字楼、商铺、高端公寓的租赁及买卖  ；业务范围辐射武汉三镇。公司本着“  诚信专业、服务至上  ”的原则，以  高效、快捷  的办事效率为准则，为几百家企业找到满意的办公场所，并得到客户和业主的一致好评。在武汉商业地产中颇具影响力。  本人从事武汉商业办公选址3年多，对武汉各楼盘都非常熟悉，相信我能带给您更高效快捷的服务。
0.02元/m²•天,110元/月,90%,东湖国贸中心,洪山 光谷关山 欢乐大道一号,暂无数据,200m²,低区,36个,20元/m²•月,4110元/月,一、*房源介绍：  优势推荐：  1、项目：东湖国贸  2、面积：200  平米  3、报价：  110  元/平/月  4、朝向：东南  5、免租期：10天  6、位置：  岳家嘴  地铁8号线4号线  直达  岳家嘴站，更有多条公交线经过！  7、*方式：  押二付三  8、装修情况：  （1）房间位于大厦  低  楼层  ，视野开阔，户型方正。  （2）现室内精装修，  宽敞明亮，可放20-25工位，格局3+1  （3）所装修比较适合传媒、教育、文化、贸易类公司。  （4）如对装修并无太大的改动，  直接入住即可，看房随时  。
1.64元/m²•天,7500元/月,70%,光谷科技港,洪山 光谷关山 华师园北路,近大学园路,暂无数据,150m²,中区,27个,2.5元/m²•月,7800元/月,本人郑重承.诺全程免费代理  成交送30%大礼包  一、房源介绍：  租金-50元/㎡/月  物业费-2.5元/㎡/月  面积-150㎡  装修—精装带家具  格局—员工大厅，老总办公室，前台，财务室，会议室  二、房源优势：  1.光谷科技港少有电梯口精装房源  2.坐南朝北，采光好、空气流通性强  3.户型方正，综合利用率高，为办公而生  4.价格实惠，性价比超高  光谷各大楼盘单价：  光谷国际大厦40~45  慧谷时空50~55  光谷8号30~35  保利茉莉公馆30~35  长航蓝晶国际40~45  力源大厦45~55  光谷金融港60~70  光谷智慧园60~70  当代中心60~70  光谷汇金中心55~65  世界城广场85~95  光谷时间广场60~70  龙安港汇城70~75  光谷国际广场85~100  融众国际105~115  光谷中心花园35~40  光谷银座70~75  新都汇30~35  联合国际65~70  湖北信息产业大厦65~70  国光大厦40~50  联峰时代45~55  华乐商务中心65~70  东方怡景大厦30~40  吴家湾大厦30~35  世界城广场85~95  保利国际中心90~130  保利国际公寓55~65  腾睿大厦40~45  光谷软件园65~75  光谷创意大厦60~70  光谷时代广场70~80  武大科技园35~55  徽商大厦45~55  豪迈大厦40~50  巨成大厦40~50  SBI创业街45~55  现代光谷世贸中心65~75  当代梦工厂60~65  光谷总部时代55~60  光谷总部国际40~55  国际企业中心45~55  光谷科技港50~55  卓瑞商业地产—胡建军，专业从事写字楼、商铺、二手房租赁/买卖，如果您有写字楼、二手房出租或出售的话，您可以找我代理出租/出售欢迎来电  24*竭诚为您服务
0.02元/m²•天,110元/月,90%,东湖国贸中心,洪山 光谷关山 欢乐大道一号,暂无数据,210m²,低区,38个,面议,110元/月,一、  房源介绍：  优势*：  1、项目：  东湖国贸中心  2、  面积  ：  2  10平米  3、报价：  110元/平/月  5、免租期：  20天  6、位置：  地铁4、8号线岳家嘴站直达  ，并有多条公交线路直达，交通十分方便。  7、*方式：  押一付三  8、装修情况：  （1）房间位于大厦中低楼层，采光好，户型方正。  （2）现室内  豪华装修  ，宽敞明亮，可放  20/25  人工位。  （3）所装修比较适合传媒、教育、文化、贸易类公司。  （4）如对装修并无太大的改动，  直接入住  即可，看房随时。
0.01元/m²•天,90元/月,80%,福星惠誉·群星城,洪山 徐东 徐东大街120号,暂无数据,320m²,高区,58个,面议,90元/月,武汉冷氏房地产经纪有限公司主营业务包括：商业地产代理买卖\租赁\豪宅按揭\金融服务等冷氏地产拥有一支专业高效稳定的服务队伍，立志*行业标准，规范服务市场，公司竭诚为您提供高效，满意的服务。  汉街总部国际*  100平:  130平(电梯口)  143平  166平等  200平:  220平  243平  216平  243平  273平等  300平:  350平(电梯口)  320平(电梯口)  340平(电梯口)  329平(电梯口)等  400平;  400平(电梯口)  457平  470平  463平  489平等  500平:  500平(电梯口)  504平(电梯口)  600平:  612平  633平  800-1000平：890平  850平  860平  805平  1770平  注：价格100-120.  物业费18  万达环球国际*表  100平:  185平  185平  147平  198平  200平:  280平（电梯口)  202平(电梯口)  268平  283平  300平:  300平  307平  308平  毛  坯：200平  300平  504平  注：价格90-105  物业费9  中北路其他*：  长城汇(物业费T1-28.  T2-25）  平安国际金融中心(物业费10）  凯德1818中心（物业费18）  海山金谷（物业费16.8）  广泽中心（物业费20）
