1.70元/平米/月,公寓,金鹤物业管理公司,1.55,30,2005年,20356元/m²,35%(一般),中山房地产开发公司,暂无数据,暂无数据
2.50元/平米/月,公寓,湖北保利物业管理有限公司,4.17,4525,2016年,16270元/m²,35%(一般),武汉常阳润力房地产开发有限公司,803170m²,5549户
2.60元/平米/月,公寓,保利(武汉)物业管理有限公司,3.25,4764,暂无数据,13895元/m²,30%(一般),武汉林云房地产开发有限公司,635550m²,4842户
暂无数据,公寓,武汉华城物业管理公司,2,800,2000年,16646元/m²,33%(一般),武汉汇峰集团有限责任公司,暂无数据,暂无数据
2.00元/㎡/月,公寓,湖北新世纪物业管理有限公司,4.4,地下154个;,2010年,25386元/m²,32%(一般),武汉虹景房地产开发有限公司,30387m²,281户
暂无数据,暂无数据,业主自管,2.39,40,2003年,21773元/m²,32%(一般),武汉紫菘房地产建筑集团股份有限公司,暂无数据,暂无数据
1.80元/平米/月,公寓,武汉市福星惠誉物业管理有限公司,2,500,2014年,14337元/m²,30%(一般),湖北福星惠誉学府置业有限公司,暂无数据,暂无数据
0.00元/㎡/月,公寓,武汉市万科物业服务有限公司,1.5,暂无数据,2016年,17416元/m²,35%(一般),武汉联投万科生态城房地产有限公司,暂无数据,暂无数据
2.70元/㎡/月,公寓,上海绿地物业服务有限公司,2.7,暂无数据,2018年,18199元/m²,35%(一般),绿地集团武汉九派鑫谷置业有限公司,暂无数据,暂无数据
2.80元/平米/月,公寓,港联物业(武汉)有限公司,4.5,暂无数据,2016年,26021元/m²,31%(一般),武汉三金房地产开发有限公司,暂无数据,暂无数据
0.60元/平米/月,普通住宅,武汉新康物业管理有限公司,2.3,400,2004年,17142元/m²,35%(一般),武汉市中大房地产开发有限公司,暂无数据,暂无数据
0.00元/㎡/月,公寓,暂无数据,3.35,暂无数据,暂无数据,14606元/m²,暂无数据,暂无数据,暂无数据,暂无数据
2.50元/平米/月,公寓,武汉新世界物业管理有限公司,2.02,800,2014年,25362元/m²,35%(一般),新世界发展(武汉)有限公司,暂无数据,暂无数据
2.00元/平米/月,暂无数据,世茂物业管理公司,2.27,2402,暂无数据,17090元/m²,35%(一般),世茂集团,暂无数据,暂无数据
2.60元/㎡/月,公寓,深圳花样年国际物业管理有限公司,3.3,暂无数据,2017年,20465元/m²,36%(一般),湖北润源房地产开发有限公司,暂无数据,暂无数据
1.60元/㎡/月,公寓,广东碧桂园物业管理有限公司,2.3,暂无数据,2016年,14285元/m²,35%(一般),武汉生态城碧桂园投资有限公司,暂无数据,暂无数据
2.60元/平米/月,公寓,武汉新东原物业有限公司,2.69,1560,2017年,15874元/m²,35%(一般),武汉东原地产开发股份有限公司,暂无数据,暂无数据
2.50元/平米/月,公寓,武汉爱家物业管理有限公司,2.89,暂无数据,2012年,24994元/m²,32%(一般),武汉爱家房地产有限公司,暂无数据,暂无数据
0.80元/平米/月,公寓,武汉联投物业管理有限公司,2.2,50个,2015年,30489元/m²,38%(一般),市政建设,暂无数据,暂无数据
0.60元/平米/月,公寓,武汉市居安物业管理有限公司,1.73,158,2003年,16773元/m²,32%(一般),武汉嘉华房地产开发有限公司,57342m²,380户
2.98元/平米/月,公寓,武汉中建三局物业管理有限责任公司,2.61,暂无数据,暂无数据,16500元/m²,30%(一般),中建三局武汉光谷投资发展公司,暂无数据,暂无数据
1.60元/平米/月,别墅,碧桂园物业发展有限公司,1.05,暂无数据,2014年,25513元/m²,35%(一般),暂无数据,暂无数据,暂无数据
2.60元/平米/月,公寓,上海爱家物业管理有限公司武汉分公司,2.74,1325,2016年,13649元/m²,35%(一般),武汉君茂投资置业有限公司,700000m²,4601户
2.80元/㎡/月,公寓,保利(武汉)物业管理有限公司,3.65,暂无数据,2016年,26068元/m²,35%(一般),湖北保利普提金置业有限公司,暂无数据,暂无数据
1.80元/平米/月,公寓,湖北清能佳苑物业服务有限公司,3.8,400,2014年,17765元/m²,35%(一般),武汉清能普提金置业有限公司,暂无数据,暂无数据
2.30元/平米/月,公寓,保利(武汉)物业管理有限公司,3.02,2854,2015年,23281元/m²,35%(一般),武汉林宇房地产开发有限公司,661851m²,6199户
1.20元/平米/月,公寓,武汉源吉鑫物业服务有限公司,3.1,100元/月,2010年,16698元/m²,20%(一般),武汉军威文化传播集团有限公司,190490m²,820户
暂无数据,公寓,业主自管,暂无数据,100,暂无数据,6920元/m²,暂无数据,暂无数据,暂无数据,暂无数据
1.80元/平米/月,公寓,武汉虹景物业管理有限公司,1.45,754,2004年,23189元/m²,36%(一般),武汉市金地房地产开发有限公司,220000m²,1446户
1.80元/平米/月,暂无数据,湖北水蓝郡物业管理公司,2.3,2000,2008年,24045元/m²,41%(高),湖北长城建设实业有限公司,暂无数据,暂无数据
1.50元/平米/月,公寓,深圳市泰然物业管理服务有限公司武汉分公司,1.7,暂无数据,2013年,29637元/m²,35%(一般),武汉市深业泰然房地产开发有限公司,暂无数据,暂无数据
2.90元/㎡/月,公寓,深圳金地物业公司,4.08,暂无数据,2017年,23786元/m²,31%(一般),武汉市地安君泰房地产开发有限公司,暂无数据,暂无数据
1.30元/㎡/月,公寓,深圳金地物业管理有限公司,1.5,暂无数据,2005年,27544元/m²,47%(高),金地集团武汉房地产开发有限公司,暂无数据,暂无数据
3.50元/平米/月,公寓,保利(武汉)物业管理有限公司,4.19,1280,2015年,25024元/m²,35%(一般),武汉保利金谷房地产开发有限公司,暂无数据,暂无数据
2.50元/平米/月,公寓,湖北清能佳苑物业服务有限公司,3.95,5600,2015年,17188元/m²,35%(一般),武汉清能普提金置业有限公司,235878m²,7991户
2.70元/平米/月,公寓,保利(武汉)物业管理有限公司,1.6,500,2012年,22549元/m²,37%(一般),武汉市祥浩房地开发有限公司,暂无数据,暂无数据
0.85元/平米/月,公寓,业主自管,暂无数据,暂无数据,2001年,6984元/m²,30%(一般),暂无数据,暂无数据,暂无数据
1.68元/平米/月,公寓,武汉周原物业股份有限公司,3.5,170（地下65，地上105）,2011年,17401元/m²,31%(一般),武汉久久房地产开发有限公司,313111m²,342户
2.20元/平米/月,公寓,武汉金地物业管理有限公司,3,650个车位,2011年,21038元/m²,30%(一般),金地集团武汉房地产开发有限公司,170000m²,1516户
2.00元/平米/月,公寓,保利(武汉)物业管理有限公司,2.8,1500,2012年,22403元/m²,35%(一般),武汉林海房地产开发有限公司,暂无数据,暂无数据
1.00元/平米/月,公寓,街道管理处,2.36,地面停车位,2002年,16839元/m²,32%(一般),市政建设,暂无数据,暂无数据
1.50元/平米/月,公寓,金地格林小城物业管理公司,1.5,停车位:189,2008年,24859元/m²,35%(一般),金地集团武汉房地产开发有限公司,700000m²,4702户
暂无数据,公寓,武汉学府物业管理有限公司,1.8,150,2006年,18637元/m²,35%(一般),武汉市洪华房地产开发有限公司,62060m²,604户
